Unnamed: 0,college_name,location,course_fees,review,rank,Average Package,Highest Package,Cutoff rank in CSE
1877,"MG Institute of Management and Technology - [MGIMT], Lucknow","Lucknow, Uttar Pradesh","₹ 60,000",6.8 / 10,,400000,,130579
1878,"MNR College of Engineering and Technology - [MNRCET], Sangareddy","Sangareddy, Telangana","₹ 57,000",6.6 / 10,,,850000,160212
1879,"Mahatma Gandhi Mission College of Engineering & Technology - [MGMCET], Noida","Noida, Uttar Pradesh","₹ 72,295",5.7 / 10,,400000,,85338
1880,"Modern Engineering and Management Studies - [MEMS], Baleswar","Baleswar, Orissa","₹ 73,000",7.4 / 10,,,,95612
1881,"Nandi Institute of Technology and Management Sciences - [NITMS], Bangalore","Bangalore, Karnataka","₹ 58,806",06-Oct,,500000,,149093
1882,"Rajendra Mane College of Engineering and Technology - [RMCET], Ratnagiri","Ratnagiri, Maharashtra","₹ 79,964",6.9 / 10,#238th/246  in India   2023,,,68180
1883,"RISHI  Institute of Engineering and Technology - [RIET], Meerut","Meerut, Uttar Pradesh","₹ 61,000",,,300000,,25014
1884,"SKR College of Engineering and Technology - [SKRCET], Nellore","Nellore, Andhra Pradesh","₹ 55,700",,,,,116971
1885,"SAL Institute of Technology and Engineering Research - [SITER], Ahmedabad","Ahmedabad, Gujarat","₹ 56,000",7.5 / 10,#242th/246  in India   2023,240000,820000,133094
1886,"Sanjay Institute of Engineering and Management - [SIEM], Mathura","Mathura, Uttar Pradesh","₹ 2,46,000",8.1 / 10,,,,98764
1887,"SMK Fomra Institute of Technology - [SMKFIT], Chennai","Chennai, Tamil Nadu","₹ 50,000",7.1 / 10,,250000,450000,126881
1888,"Somany Institute of Technology and Management - [SITM], Rewari","Rewari, Haryana","₹ 77,380",7.5 / 10,,,,78120
1889,"Shri Dadaji Institute of Technology and Science - [SDITS], Khandwa","Khandwa, Madhya Pradesh","₹ 50,000",5.5 / 10,,320000,,24092
1890,"Sri Krishna Institute of Technology - [SKIT], Chennai","Chennai, Tamil Nadu","₹ 65,340",7.3 / 10,,,,107342
1891,"Synergy Institute of Technology, Dewas","Dewas, Madhya Pradesh","₹ 52,000",,,250000,,152323
1892,"The Indian Engineering College - [TIEC], Karaikudi","Karaikudi, Tamil Nadu","₹ 1,60,000",6.5 / 10,,,,58346
1893,"West Godavari Institute of Science and Engineering - [WISE], Tadepalligudem","Tadepalligudem, Andhra Pradesh","₹ 50,200",7.9 / 10,,320000,,71709
1894,"Jai Bharath College of Management and Engineering Technology - [JBCMET], Ernakulam","Ernakulam, Kerala","₹ 82,650",6.5 / 10,,,,104902
1895,"Chaitanya Bharathi Institute of Technology, Kadapa","Kadapa, Andhra Pradesh","₹ 35,000",7.9 / 10,,800000,,95849
1896,"Jasdev Singh Sandhu Institute of Engineering and Technology - [JSSIET], Patiala","Patiala, Punjab","₹ 80,750",6.7 / 10,,,,132812
1897,"Patiala Institute of Engineering and Technology for Women, Patiala","Patiala, Punjab",--,7.2 / 10,,,,77022
1898,"Vathsalya Institute of Science & Technology, Nalgonda","Nalgonda, Telangana","₹ 42,000",3.3 / 10,,,,53722
1899,"Growmore Group of Institutions, Himmatnagar","Himmatnagar, Gujarat","₹ 49,500",7.8 / 10,,,,28229
1900,"Deepshikha Group of Colleges, Jaipur","Jaipur, Rajasthan","₹ 77,500",6.9 / 10,,500000,718000,176027
1901,"Government College of Engineering and Research, Pune","Pune, Maharashtra","₹ 24,863",7.2 / 10,#141th/170  in India   2023,,,23748
1902,"Andhra University College of Engineering for Women - [AUCEW], Visakhapatnam","Visakhapatnam, Andhra Pradesh","₹ 63,400",7.7 / 10,,,,7220
1903,"Bagula Mukhi College of Technology - [BMCT], Bhopal","Bhopal, Madhya Pradesh","₹ 45,600",06-Oct,,250000,500000,72795
1904,"Y.V Siva Reddy College of Engineering and Technology, Anantapur","Anantapur, Andhra Pradesh","₹ 38,100",8.2 / 10,,,,22212
