Unnamed: 0,college_name,location,course_fees,review,Average Package,Highest Package,Cutoff rank in CSE
743,"Rajiv Gandhi govt. Engineering college -[RGGEC], Kangra","Kangra, Himachal Pradesh",61070,7.5,250000,2417680,92997
744,"Purnea College of Engineering - [PCE], Purnea","Purnea, Bihar",0,7.9,541800,1900000,18666
745,"Channabasaveshwara Institute of Technology - [CIT], Tumkur","Tumkur, Karnataka",238000,7.4,400000,1800000,75518
746,"Chirala Engineering College - [CEC], Chirala","Chirala, Andhra Pradesh",180000,7.453557199772339,541800,2300000,187140
747,"EASA College of Engineering and Technology - [ECET], Coimbatore","Coimbatore, Tamil Nadu",50000,7.5,450000,1730000,84249
748,"GM Institute of Technology - [GMIT], Davanagere","Davanagere, Karnataka",130000,7.7,541800,1580000,29236
749,"Gates Institute of Technology-[GIT], Anantapur","Anantapur, Andhra Pradesh",41000,7.7,541800,2300000,196739
750,"Geeta Engineering College - [GEC], Panipat","Panipat, Haryana",91000,8.9,500000,1200000,149608
751,"Gharda Institute of Technology-[GIT], Ratnagiri","Ratnagiri, Maharashtra",69549,8.4,541800,2100000,134208
752,"Government Engineering College, Patan","Patan, Gujarat",1500,7.6,541800,2417680,104334
753,"Govind Ballabh Pant Engineering College - [GBPEC], Garhwal","Garhwal, Uttarakhand",69015,6.6,400000,1800000,63438
754,"Hooghly Engineering and Technology College - [HETC], Hooghly","Hooghly, West Bengal",105600,7.5,450000,600000,96090
755,"Rajiv Gandhi Institute of Technology - [RGIT], Mumbai","Mumbai, Maharashtra",120000,7.1,400000,800000,73458
756,"SVS College of Engineering - [SVSCE], Coimbatore","Coimbatore, Tamil Nadu",45000,7.1,492000,1000000,115643
757,"Sasi Institute of Technology & Engineering - [SITE], Tadepalligudem","Tadepalligudem, Andhra Pradesh",45700,7.7,600000,450000,98832
758,"Shivajirao S Jondhale College of Engineering - [SSJCE], Thane","Thane, Maharashtra",97380,6.3,541800,1500000,122252
759,"Shree Devi Institute of Technology - [SDIT], Mangalore","Mangalore, Karnataka",100000,7.4,541800,1200000,96212
760,"Sinhgad Academy of Engineering - [SAE] Kondhawa, Pune","Pune, Maharashtra",97000,7.1,300000,700000,151005
761,"Sir Visvesvaraya Institute Of Technology - [SVIT] Chincholi, Nashik","Nashik, Maharashtra",91867,7.5,300000,400000,83016
762,"Sree Dattha Institute of Engineering and Science - [SDES], Rangareddy","Rangareddy, Telangana",82000,7.6,570000,800000,161907
763,"Sri Vijaya Vittala Institute of Technology- [VVIT], Bangalore","Bangalore, Karnataka",160000,7.1,541800,1800000,25352
764,"St Joseph Engineering College - [SJEC], Mangalore","Mangalore, Karnataka",88130,7.9,450000,4200000,179894
765,"Vaageswari College of Engineering, Karimnagar","Karimnagar, Telangana",55000,7.453557199772339,541800,1200000,82492
766,"Vishveshwarya Group of Institutions - [VGI], Greater Noida","Greater Noida, Uttar Pradesh",90000,6.4,541800,1000000,6028
767,"NIIT University - [NU], Neemrana","Neemrana, Rajasthan",325000,7.4,1176000,2512000,120910
768,"CT Group of Institutions, Jalandhar","Jalandhar, Punjab",89080,7.6,541800,1400000,88564
769,"Bipin Tripathi  Kumaon Institute of Technology, Almora","Almora, Uttarakhand",71150,6.4,340000,1800000,174642
770,"ABMSP's Anantrao Pawar College of Engineering & Research - [APCOER], Pune","Pune, Maharashtra",67000,7.8,541800,1970000,190561
771,"Institute of Technology & Management - [ITM], Aligarh","Aligarh, Uttar Pradesh",55000,6.5,500000,1200000,141938
772,"JCT College of Engineering and Technology, Coimbatore","Coimbatore, Tamil Nadu",50000,6.6,541800,2417680,129897
773,"JIMS Engineering Management Technical Campus- [JEMTEC], Greater Noida","Greater Noida, Uttar Pradesh",97750,8.4,474000,1750000,171198
774,"College of Engineering - [COE] Kallooppara, Pathanamthitta","Pathanamthitta, Kerala",35000,8.5,300000,2417680,153390
775,"College of Engineering - [CEAL] Attingal, Thiruvananthapuram","Thiruvananthapuram, Kerala",42952,7.6,400000,630000,77626
776,"Dhanalakshmi Srinivasan College of Engineering - [DSCE], Coimbatore","Coimbatore, Tamil Nadu",55000,6.1,541800,2417680,54824
777,"Government Engineering College - [GECK], Kozhikode","Kozhikode, Kerala",23290,7.9,350000,500000,106084
778,"Vaigai College of Engineering- [VCE], Madurai","Madurai, Tamil Nadu",50000,7.453557199772339,541800,2417680,130678
779,"Jagannath University, Bahadurgarh","Bahadurgarh, Haryana",121000,7.9,541800,540000,170358
780,"Indian Institute of Information Technology, Srirangam","Srirangam, Tamil Nadu",192250,7.5,990000,2417680,103049
